code,character,translation,issue_type,char_name,trans_name
U+00FF4E,ｎ,n,different,FULLWIDTH LATIN SMALL LETTER N,LATIN SMALL LETTER N
U+00FF4F,ｏ,o,different,FULLWIDTH LATIN SMALL LETTER O,LATIN SMALL LETTER O
U+00FF50,ｐ,p,different,FULLWIDTH LATIN SMALL LETTER P,LATIN SMALL LETTER P
U+00FF51,ｑ,q,different,FULLWIDTH LATIN SMALL LETTER Q,LATIN SMALL LETTER Q
U+00FF52,ｒ,r,different,FULLWIDTH LATIN SMALL LETTER R,LATIN SMALL LETTER R
U+00FF53,ｓ,s,different,FULLWIDTH LATIN SMALL LETTER S,LATIN SMALL LETTER S
U+00FF54,ｔ,t,different,FULLWIDTH LATIN SMALL LETTER T,LATIN SMALL LETTER T
U+00FF55,ｕ,u,different,FULLWIDTH LATIN SMALL LETTER U,LATIN SMALL LETTER U
U+00FF56,ｖ,v,different,FULLWIDTH LATIN SMALL LETTER V,LATIN SMALL LETTER V
U+00FF57,ｗ,w,different,FULLWIDTH LATIN SMALL LETTER W,LATIN SMALL LETTER W
U+00FF58,ｘ,x,different,FULLWIDTH LATIN SMALL LETTER X,LATIN SMALL LETTER X
U+00FF59,ｙ,y,different,FULLWIDTH LATIN SMALL LETTER Y,LATIN SMALL LETTER Y
U+00FF5A,ｚ,z,different,FULLWIDTH LATIN SMALL LETTER Z,LATIN SMALL LETTER Z
U+00FF5E,～,~,different,FULLWIDTH TILDE,TILDE
U+00FF61,｡,.,different,HALFWIDTH IDEOGRAPHIC FULL STOP,FULL STOP
U+00FF64,､,",",different,HALFWIDTH IDEOGRAPHIC COMMA,COMMA
U+00FF70,ｰ,-,different,HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK,HYPHEN-MINUS
