code,character,translation,issue_type,category,char_name,trans_name,accept
U+002472,⑲,○,different,기타 변환,CIRCLED NUMBER NINETEEN,WHITE CIRCLE,
U+002473,⑳,○,different,기타 변환,CIRCLED NUMBER TWENTY,WHITE CIRCLE,
U+0024B6,Ⓐ,「,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER A,LEFT CORNER BRACKET,
U+0024B7,Ⓑ,『,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER B,LEFT WHITE CORNER BRACKET,
U+0024B8,Ⓒ,“,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER C,LEFT DOUBLE QUOTATION MARK,
U+0024B9,Ⓓ,‘,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER D,LEFT SINGLE QUOTATION MARK,
U+0024BA,Ⓔ,(,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER E,LEFT PARENTHESIS,
U+0024BB,Ⓕ,《,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER F,LEFT DOUBLE ANGLE BRACKET,
U+0024BC,Ⓖ,♪,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER G,EIGHTH NOTE,
U+0024BD,Ⓗ,★,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER H,BLACK STAR,
U+0024BE,Ⓘ,☆,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER I,WHITE STAR,
U+0024C0,Ⓚ, ,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER K,SPACE,
U+0024C1,Ⓛ,,different,삭제됨 (빈 문자열),CIRCLED LATIN CAPITAL LETTER L,N/A,
U+0024C2,Ⓜ, ,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER M,SPACE,
U+0024C3,Ⓝ,.,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER N,FULL STOP,
U+0024C5,Ⓟ,!,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER P,EXCLAMATION MARK,
U+0024C6,Ⓠ,",",different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER Q,COMMA,
U+0024C7,Ⓡ,…,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER R,HORIZONTAL ELLIPSIS,
U+0024C8,Ⓢ,─,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER S,BOX DRAWINGS LIGHT HORIZONTAL,
U+0024CA,Ⓤ,》,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER U,RIGHT DOUBLE ANGLE BRACKET,
U+0024CB,Ⓥ,),different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER V,RIGHT PARENTHESIS,
U+0024CC,Ⓦ,’,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER W,RIGHT SINGLE QUOTATION MARK,
U+0024CD,Ⓧ,”,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER X,RIGHT DOUBLE QUOTATION MARK,
U+0024CE,Ⓨ,』,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER Y,RIGHT WHITE CORNER BRACKET,
U+0024CF,Ⓩ,」,different,특수문자 → 특수문자,CIRCLED LATIN CAPITAL LETTER Z,RIGHT CORNER BRACKET,
U+002582,▂,,different,삭제됨 (빈 문자열),LOWER ONE QUARTER BLOCK,N/A,
U+0025A1,□,□,square,특수문자 → 특수문자,WHITE SQUARE,WHITE SQUARE,TRUE
U+0025EF,◯,ⓒ,different,특수문자 → 특수문자,LARGE CIRCLE,CIRCLED LATIN SMALL LETTER C,
U+00266F,♯,＃,different,특수문자 → 특수문자,MUSIC SHARP SIGN,FULLWIDTH NUMBER SIGN,TRUE
U+003013,〓,＝,different,특수문자 → 특수문자,GETA MARK,FULLWIDTH EQUALS SIGN,
U+00301D,〝,“,different,특수문자 → 특수문자,REVERSED DOUBLE PRIME QUOTATION MARK,LEFT DOUBLE QUOTATION MARK,TRUE
U+00301F,〟,”,different,특수문자 → 특수문자,LOW DOUBLE PRIME QUOTATION MARK,RIGHT DOUBLE QUOTATION MARK,TRUE
U+003054,ご,,different,삭제됨 (빈 문자열),HIRAGANA LETTER GO,N/A,TRUE
U+003055,さ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER SA,N/A,TRUE
U+00305E,ぞ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER ZO,N/A,TRUE
U+00305F,た,,different,삭제됨 (빈 문자열),HIRAGANA LETTER TA,N/A,TRUE
U+003062,ぢ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER DI,N/A,TRUE
U+003065,づ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER DU,N/A,TRUE
U+00306A,な,,different,삭제됨 (빈 문자열),HIRAGANA LETTER NA,N/A,TRUE
U+003079,べ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER BE,N/A,TRUE
U+00307E,ま,,different,삭제됨 (빈 문자열),HIRAGANA LETTER MA,N/A,TRUE
U+003085,ゅ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER SMALL YU,N/A,TRUE
U+003086,ゆ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER YU,N/A,TRUE
U+003087,ょ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER SMALL YO,N/A,TRUE
U+003088,よ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER YO,N/A,TRUE
U+00308A,り,,different,삭제됨 (빈 문자열),HIRAGANA LETTER RI,N/A,TRUE
U+00308C,れ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER RE,N/A,TRUE
U+003090,ゐ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER WI,N/A,TRUE
U+003091,ゑ,,different,삭제됨 (빈 문자열),HIRAGANA LETTER WE,N/A,TRUE
U+003099,゙,″,different,히라가나/가타카나 → 기타,COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK,DOUBLE PRIME,
U+00309A,゚,˚,different,히라가나/가타카나 → 기타,COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK,RING ABOVE,
U+00309B,゛,″,different,히라가나/가타카나 → 기타,KATAKANA-HIRAGANA VOICED SOUND MARK,DOUBLE PRIME,TRUE
U+00309C,゜,˚,different,히라가나/가타카나 → 기타,KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK,RING ABOVE,TRUE
U+0030A3,ィ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL I,N/A,TRUE
U+0030A5,ゥ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL U,N/A,TRUE
U+0030A9,ォ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL O,N/A,TRUE
U+0030C3,ッ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL TU,N/A,TRUE
U+0030E3,ャ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL YA,N/A,TRUE
U+0030E5,ュ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL YU,N/A,TRUE
U+0030E7,ョ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL YO,N/A,TRUE
U+0030EE,ヮ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL WA,N/A,TRUE
U+0030F0,ヰ,,different,삭제됨 (빈 문자열),KATAKANA LETTER WI,N/A,TRUE
U+0030F1,ヱ,,different,삭제됨 (빈 문자열),KATAKANA LETTER WE,N/A,TRUE
U+0030F2,ヲ,,different,삭제됨 (빈 문자열),KATAKANA LETTER WO,N/A,TRUE
U+0030F3,ン,,different,삭제됨 (빈 문자열),KATAKANA LETTER N,N/A,TRUE
U+0030F5,ヵ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL KA,N/A,TRUE
U+0030F6,ヶ,,different,삭제됨 (빈 문자열),KATAKANA LETTER SMALL KE,N/A,TRUE
U+0030FB,・,·,different,히라가나/가타카나 → 기타,KATAKANA MIDDLE DOT,MIDDLE DOT,TRUE
U+003231,㈱,㈜,different,특수문자 → 특수문자,PARENTHESIZED IDEOGRAPH STOCK,PARENTHESIZED HANGUL CIEUC U,TRUE
U+003232,㈲,有,different,기타 변환,PARENTHESIZED IDEOGRAPH HAVE,CJK UNIFIED IDEOGRAPH-6709,
U+003239,㈹,代,different,기타 변환,PARENTHESIZED IDEOGRAPH REPRESENT,CJK UNIFIED IDEOGRAPH-4EE3,
U+0032A4,㊤,上,different,기타 변환,CIRCLED IDEOGRAPH HIGH,CJK UNIFIED IDEOGRAPH-4E0A,
U+0032A5,㊥,中,different,기타 변환,CIRCLED IDEOGRAPH CENTRE,CJK UNIFIED IDEOGRAPH-4E2D,
U+0032A6,㊦,下,different,기타 변환,CIRCLED IDEOGRAPH LOW,CJK UNIFIED IDEOGRAPH-4E0B,
U+0032A7,㊧,左,different,기타 변환,CIRCLED IDEOGRAPH LEFT,CJK UNIFIED IDEOGRAPH-5DE6,
U+0032A8,㊨,右,different,기타 변환,CIRCLED IDEOGRAPH RIGHT,CJK UNIFIED IDEOGRAPH-53F3,
U+004E00,一,1,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-4E00,DIGIT ONE,TRUE
U+004E03,七,7,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-4E03,DIGIT SEVEN,TRUE
U+004E09,三,3,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-4E09,DIGIT THREE,TRUE
U+004E5D,九,9,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-4E5D,DIGIT NINE,TRUE
U+004E8C,二,2,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-4E8C,DIGIT TWO,TRUE
U+004E94,五,5,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-4E94,DIGIT FIVE,TRUE
U+00516B,八,8,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-516B,DIGIT EIGHT,TRUE
U+00516D,六,6,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-516D,DIGIT SIX,TRUE
U+005341,十,10,different,멀티바이트 변환,CJK UNIFIED IDEOGRAPH-5341,N/A,TRUE
U+00565B,噛,か,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-565B,HIRAGANA LETTER KA,
U+005699,嚙,か,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-5699,HIRAGANA LETTER KA,
U+0056DB,四,4,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-56DB,DIGIT FOUR,TRUE
U+005BE4,寤,0,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-5BE4,DIGIT ZERO,
U+005CFB,峻,諾,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-5CFB,CJK COMPATIBILITY IDEOGRAPH-F95D,
U+006766,杦,絃,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6766,CJK UNIFIED IDEOGRAPH-7D43,
U+0067BB,枻,絢,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-67BB,CJK UNIFIED IDEOGRAPH-7D62,
U+0067C0,柀,舷,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-67C0,CJK UNIFIED IDEOGRAPH-8237,
U+006801,栁,衒,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6801,CJK UNIFIED IDEOGRAPH-8852,
U+006844,桄,見,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6844,CJK COMPATIBILITY IDEOGRAPH-FA0A,
U+006852,桒,縣,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6852,CJK UNIFIED IDEOGRAPH-7E23,
U+0068CF,棏,賢,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-68CF,CJK UNIFIED IDEOGRAPH-8CE2,
U+006968,楨,顯,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6968,CJK UNIFIED IDEOGRAPH-986F,
U+006998,榘,穴,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6998,CJK UNIFIED IDEOGRAPH-7A74,
U+0069E2,槢,血,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-69E2,CJK UNIFIED IDEOGRAPH-8840,
U+006A30,樰,頁,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6A30,CJK UNIFIED IDEOGRAPH-9801,
U+006A46,橆,俠,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6A46,CJK UNIFIED IDEOGRAPH-4FE0,
U+006A73,橳,協,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6A73,CJK UNIFIED IDEOGRAPH-5354,
U+006A7E,橾,夾,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6A7E,CJK UNIFIED IDEOGRAPH-593E,
U+006AE2,櫢,峽,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6AE2,CJK UNIFIED IDEOGRAPH-5CFD,
U+006AE4,櫤,挾,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6AE4,CJK UNIFIED IDEOGRAPH-633E,
U+006BD6,毖,浹,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6BD6,CJK UNIFIED IDEOGRAPH-6D79,
